idx,facility_name,facility_type,health_authority,longitude,latitude,street_addr,city,province,phone,provider
0,Wellness Institute At Sogh - Rehab Dpt,Medical Clinic,Winnipeg,-97.150642,49.955676,1075 Leila Ave,Winnipeg,MB,204-632-3906,Province of Manitoba
1,Dr W Salib Medical Clinic,Medical Clinic,Prairie Mountain Health,-101.264339,52.106427,900 Main St,Swan River,MB,204-734-3812,Province of Manitoba
2,Guest Medical Clinic,Medical Clinic,Winnipeg,-97.11192151699998,49.85620421600004,715 St Mary's Rd,Winnipeg,MB,204-414-7695,Province of Manitoba
3,Memorial Medical Clinic,Medical Clinic,Winnipeg,-97.15408739999998,49.885809,595 Broadway Ave,Winnipeg,MB,204-775-7756,Province of Manitoba
4,Family Care Medical Centre,Medical Clinic,Winnipeg,-97.11990119999996,49.88165520000007,191 Marion St,Winnipeg,MB,204-231-1724,Province of Manitoba
5,Mount Carmel Clinic Pharmacy,Medical Clinic,Winnipeg,-97.134445,49.910116,886 Main St,Winnipeg,MB,204-587-0834,Province of Manitoba
6,Haven Medical Clinic,Medical Clinic,Winnipeg,-97.21049172199997,49.87911453100003,1763 Portage Ave,Winnipeg,MB,204-832-4644,Province of Manitoba
7,Kennedy Medical Clinic,Medical Clinic,Winnipeg,-97.14715059999997,49.88982250000004,203 Kennedy St,Winnipeg,MB,204-942-1999.,Province of Manitoba
8,QuickCare Clinic - Dakota,Medical Clinic,Winnipeg,-97.111974,49.835272,3 620 Dakota St,Winnipeg,MB,204-940-4332,Province of Manitoba
9,Sunshine Medical Clinic,Medical Clinic,Winnipeg,-97.158518,49.85331050000008,1000 Taylor Ave,Winnipeg,MB,204-285-3994,Province of Manitoba
10,Mobile Medical Clinic (Southern),Medical Clinic,Southern Health-Santé Sud,-96.69342,49.530557,200 381 Stonebridge Crossing,Steinbach,MB,855-644-3515,Province of Manitoba
11,Tache Obstetrics & Gynecology,Medical Clinic,Winnipeg,-97.12335,49.884714,305 400 Tache Ave,Winnipeg,MB,204-237-4694,Province of Manitoba
12,Misericordia Health Centre - CIVP,Medical Clinic,Winnipeg,-97.16015525299997,49.87906173500005,99 Cornish Ave,Winnipeg,MB,204-789-7120,Province of Manitoba
13,Keewatin Medical Center,Medical Clinic,Winnipeg,-97.19667800000001,49.94291450000003,6 998 Keewatin St,Winnipeg,MB,204-615-0012,Province of Manitoba
14,Pointe Du Bois Spillway Health Centre,Medical Clinic,Interlake-Eastern,-95.550842,50.300744,End of Highway 313,Point Du Bois,MB,204-884-3200,Province of Manitoba
15,Beausejour Coop Pharmacy,Pharmacy,Interlake-Eastern,-96.516093,50.061633,605 Park Ave Box 670,Beausejour,MB,204-268-1806,Province of Manitoba
16,Concordia Community Clinic,Medical Clinic,Winnipeg,-97.06463079999997,49.91349860000003,1 1095 Concordia Ave,Winnipeg,MB,204-667-9369,Province of Manitoba
17,Mobile Medical Clinic (Prairie Mountain),Medical Clinic,Prairie Mountain Health,-99.523066,51.059418,Ste Rose Primary Care Centre 603 1st Ave E,Ste Rose Du Lac,MB,204-447-4080,Province of Manitoba
18,Cinden Integrative Health & Wellness Institute,Medical Clinic,Winnipeg,-97.19501883199996,49.81690390200004,123 A Scurfield Blvd,Winnipeg,MB,204-615-2170,Province of Manitoba
